"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","97.80","98.58","99.02","97.50","16.61M","-1.30%"
"04/04/2023","99.09","101.42","101.42","98.72","18.80M","-2.24%"
"04/03/2023","101.36","100.96","101.77","100.63","11.17M","0.18%"
"03/31/2023","101.18","100.45","101.24","100.24","12.01M","1.32%"
"03/30/2023","99.86","100.14","100.34","99.54","8.16M","0.21%"
"03/29/2023","99.65","99.11","99.70","98.92","9.39M","1.46%"
"03/28/2023","98.22","97.53","98.61","97.53","9.91M","0.51%"
"03/27/2023","97.72","97.69","98.05","97.08","7.67M","0.84%"
"03/24/2023","96.91","95.79","96.98","95.19","15.99M","0.41%"
"03/23/2023","96.51","96.94","98.15","95.91","15.86M","-0.29%"
"03/22/2023","96.79","98.65","99.14","96.75","14.18M","-1.92%"
"03/21/2023","98.68","98.69","99.09","98.17","11.50M","1.16%"
"03/20/2023","97.55","96.71","97.79","96.71","14.48M","0.91%"
"03/17/2023","96.67","97.85","98.02","96.21","23.17M","-1.64%"
"03/16/2023","98.28","96.40","98.57","96.13","24.11M","1.29%"
"03/15/2023","97.03","97.67","97.82","95.50","34.25M","-2.46%"
"03/14/2023","99.48","99.70","100.49","98.32","15.38M","1.06%"
"03/13/2023","98.44","97.99","99.36","97.59","28.62M","-0.57%"
"03/10/2023","99.00","100.72","101.23","98.68","27.41M","-1.86%"
"03/09/2023","100.88","102.97","103.30","100.73","11.02M","-1.47%"
"03/08/2023","102.39","102.23","102.64","101.65","11.51M","0.23%"
"03/07/2023","102.15","103.49","103.64","102.07","11.03M","-1.29%"
"03/06/2023","103.48","103.74","104.18","103.33","9.71M","-0.18%"
"03/03/2023","103.67","102.97","103.84","102.39","12.10M","1.08%"
"03/02/2023","102.56","100.76","102.75","100.76","10.57M","1.17%"
"03/01/2023","101.37","100.88","101.90","100.69","10.37M","0.40%"
"02/28/2023","100.97","101.07","101.60","100.87","10.85M","-0.23%"
"02/27/2023","101.20","101.52","101.97","100.97","8.68M","0.89%"
"02/24/2023","100.31","99.85","100.47","99.40","9.29M","-0.57%"
"02/23/2023","100.89","100.93","101.50","99.82","9.00M","0.47%"
"02/22/2023","100.42","100.76","101.25","100.00","8.87M","-0.25%"
"02/21/2023","100.67","102.26","102.58","100.57","9.81M","-2.29%"
"02/17/2023","103.03","102.29","103.09","101.89","8.78M","0.65%"
"02/16/2023","102.36","102.10","103.14","101.92","8.84M","-1.03%"
"02/15/2023","103.43","102.22","103.46","102.02","6.01M","0.62%"
"02/14/2023","102.79","102.71","103.26","101.72","7.72M","-0.27%"
